transaction_id,upi_id,payee_display_name,amount_inr,timestamp,sender_account_age_days,payee_account_age_days,transaction_hour,device_change_last_24h,sender_city,is_first_time_payee,num_txns_to_payee_last_30d,triggered_by_sms_link,triggered_by_screen_share_app,fraud_type,is_fraud
TXN102264,pooja_patel@okicici,Pooja Patel,1455.47,2025-02-06T18:12:15,2984,2879,18,0,Bengaluru,0,13,0,0,none,0
TXN101551,priya_gupta@paytm,Priya Gupta,5424.26,2025-11-28T03:46:17,2533,1291,3,1,Bengaluru,1,13,0,0,none,0
TXN101815,sneha492@upi,Sneha Nair,2434.77,2026-05-17T22:08:54,2626,819,22,0,Hyderabad,0,3,0,0,none,0
TXN200208,cashbackoffer519@ybl,9d9tm5 Services,3108.3,2025-03-03T12:26:05,1129,20,12,1,Lucknow,1,0,1,1,refund_scam,1
TXN101206,sureshnair1971@oksbi,Suresh Nair,273.34,2025-12-12T13:51:59,1104,2345,13,1,Bengaluru,1,5,0,0,none,0
TXN101932,manoj219@okicici,Manoj Singh,820.78,2025-11-05T05:34:38,959,1417,5,0,Delhi,0,5,0,0,none,0
TXN101646,suresh515@axl,Suresh Singh,4776.5,2025-09-22T00:45:47,962,2229,0,0,Delhi,0,16,0,0,none,0
TXN102113,vikram.singh20@oksbi,Vikram Singh,3909.49,2026-04-15T13:17:06,1237,1016,13,0,Pune,0,8,0,0,none,0
TXN101843,manoj_chauhan@ybl,Manoj Chauhan,98.22,2026-06-13T09:42:56,2673,2168,9,0,Kolkata,0,13,0,0,none,0
TXN100783,kavita.sharma91@upi,Kavita Sharma,9921.11,2025-08-12T13:33:52,2588,1813,13,0,Hyderabad,1,15,0,0,none,0
TXN100431,rahul_gupta@upi,Rahul Gupta,2994.72,2026-04-30T01:53:53,2088,917,1,0,Jaipur,1,16,0,0,none,0
TXN100082,deepak826@ybl,Deepak Reddy,839.81,2025-03-31T10:59:14,2711,1974,10,0,Hyderabad,0,13,0,0,none,0
TXN100702,kavitasharma1971@axl,Kavita Sharma,1727.57,2026-04-18T08:31:50,2443,2064,8,0,Kolkata,0,13,0,0,none,0
TXN200504,axis-ii0hx@apl,Prize Claim Cell,1.17,2025-11-26T21:18:20,2875,4,21,0,Indore,1,0,1,1,lottery_prize_scam,1
TXN102022,manojpatel1974@okhdfcbank,Manoj Patel,6865.39,2025-08-21T12:39:01,1391,1399,12,0,Bengaluru,0,4,0,0,none,0
TXN101433,deepak.gupta77@upi,Deepak Gupta,7127.45,2026-06-30T09:18:59,342,640,9,0,Lucknow,0,10,0,0,none,0
TXN100654,snehasingh1990@okhdfcbank,Sneha Singh,5478.68,2026-06-22T04:23:25,996,466,4,0,Chennai,0,14,0,0,none,0
TXN101688,arjun_iyer@paytm,Arjun Iyer,754.3,2025-02-16T06:31:42,2359,1192,6,0,Mumbai,0,1,0,0,none,0
TXN101676,meena.chauhan87@ibl,Meena Chauhan,5143.89,2025-08-15T08:43:19,2496,2283,8,0,Hyderabad,0,19,0,0,none,0
TXN102206,amit.patel91@paytm,Amit Patel,4877.65,2025-03-18T12:39:45,1782,1585,12,0,Bengaluru,1,6,0,0,none,0
TXN101000,meena.reddy38@oksbi,Meena Reddy,14979.24,2025-08-22T04:13:44,1734,716,4,0,Kolkata,0,16,0,0,none,0
TXN200276,flipkart-7ro9m@oksbi,Ht9x46 Services,4.36,2025-03-22T19:36:57,2956,25,19,1,Delhi,1,0,1,1,loan_app_scam,1
TXN100506,amitchauhan1989@okaxis,Amit Chauhan,2478.35,2026-01-19T13:15:38,2662,946,13,1,Kolkata,0,8,0,0,none,0
TXN100551,rohitsingh1981@ybl,Rohit Singh,1174.02,2025-08-10T15:21:48,1293,2060,15,0,Hyderabad,1,12,0,0,none,0
TXN100292,priya_nair@ibl,Priya Nair,13908.09,2025-05-23T00:58:42,1809,999,0,0,Mumbai,0,16,0,0,none,0
TXN100642,anitachauhan1983@okaxis,Anita Chauhan,2186.82,2026-06-12T21:11:19,246,1326,21,0,Chennai,0,15,0,0,none,0
TXN100736,priyayadav1996@axl,Priya Yadav,3434.1,2025-06-10T03:51:42,709,2567,3,0,Lucknow,1,2,0,0,none,0
TXN101463,manojgupta2005@oksbi,Manoj Gupta,1268.56,2025-07-06T11:55:57,1905,887,11,0,Pune,0,8,0,0,none,0
TXN100047,rohityadav1975@okicici,Rohit Yadav,2034.78,2026-03-05T17:52:52,2612,2014,17,0,Bengaluru,0,9,0,0,none,0
TXN101115,pooja.reddy40@ybl,Pooja Reddy,1781.8,2025-02-28T05:09:02,756,2063,5,0,Kolkata,0,11,0,0,none,0
TXN100640,manojsharma1982@paytm,Manoj Sharma,14206.6,2026-05-31T19:01:49,238,706,19,0,Mumbai,1,10,0,0,none,0
TXN102130,anita775@oksbi,Anita Sharma,1109.01,2025-08-01T04:08:54,924,918,4,0,Pune,0,10,0,0,none,0
TXN101690,meena_sharma@axl,Meena Sharma,264.38,2025-09-30T18:10:24,2785,109,18,0,Hyderabad,0,5,0,0,none,0
TXN200053,supportdesk981@okaxis,Refund Dept,4.7,2025-02-23T04:41:38,741,30,4,1,Delhi,1,0,0,1,lottery_prize_scam,1
TXN101834,pooja.nair31@ibl,Pooja Nair,709.24,2025-08-30T22:45:03,1593,590,22,1,Mumbai,0,9,0,0,none,0
TXN200501,icici-dbx5x@axl,Cash Back Team,2.47,2025-01-13T19:10:57,2284,5,19,1,Kolkata,1,0,1,1,refund_scam,1
TXN101280,ritu506@okaxis,Ritu Yadav,9770.52,2025-05-05T05:50:21,1876,1045,5,0,Jaipur,1,15,0,0,none,0
TXN101279,sanjay_sharma@upi,Sanjay Sharma,8597.33,2026-06-15T14:12:56,472,2597,14,0,Hyderabad,0,14,0,0,none,0
TXN200247,icici-yjkja@axl,Customer Support,27902.72,2026-03-16T10:51:13,2956,28,10,1,Lucknow,1,0,1,1,loan_app_scam,1
TXN200434,shdxfw36fxv@paytm,Customer Support,1928.45,2025-11-26T11:12:30,992,4,11,1,Pune,1,0,0,1,refund_scam,1
TXN101484,sanjay_yadav@okaxis,Sanjay Yadav,1349.49,2026-04-13T19:15:48,2828,2104,19,0,Lucknow,0,9,0,0,none,0
TXN100066,pooja_yadav@okhdfcbank,Pooja Yadav,2325.32,2026-06-09T03:51:54,2678,996,3,0,Jaipur,0,20,0,0,none,0
TXN200529,kycupdate135@paytm,Cash Back Team,1326.02,2026-05-12T11:12:42,273,21,11,1,Pune,1,0,0,1,job_offer_scam,1
TXN100024,suresh459@axl,Suresh Verma,3499.44,2025-09-15T05:04:51,911,2468,5,0,Pune,0,3,0,0,none,0
TXN102314,manojchauhan1997@oksbi,Manoj Chauhan,1353.05,2025-06-21T07:50:01,2103,943,7,0,Jaipur,0,4,0,0,none,0
TXN102156,sanjay.yadav47@okaxis,Sanjay Yadav,14157.26,2025-07-12T23:38:20,216,1459,23,0,Chennai,0,15,0,0,none,0
TXN102334,vikram749@apl,Vikram Yadav,7113.35,2025-05-11T13:59:46,742,1857,13,0,Hyderabad,0,15,0,0,none,0
TXN102328,divyachauhan2004@axl,Divya Chauhan,1580.99,2025-12-02T09:14:01,1736,2051,9,0,Kolkata,1,6,0,0,none,0
TXN200431,verifyacc361@okicici,0eihy0 Services,5.65,2026-03-14T17:50:11,187,2,17,0,Mumbai,1,0,1,0,refund_scam,1
TXN101082,suresh571@okaxis,Suresh Gupta,12597.95,2025-04-20T00:23:28,940,2704,0,0,Mumbai,0,12,0,0,none,0
TXN101107,amit212@okhdfcbank,Amit Chauhan,1678.61,2025-09-27T10:27:03,2516,473,10,1,Mumbai,0,18,0,0,none,0
TXN100150,manoj.reddy49@oksbi,Manoj Reddy,8498.16,2026-06-30T21:58:59,2821,1446,21,0,Delhi,0,7,0,0,none,0
TXN102405,pooja_chauhan@upi,Pooja Chauhan,14678.72,2026-04-11T17:46:17,1969,963,17,0,Jaipur,0,18,0,0,none,0
TXN101944,neha.yadav95@okhdfcbank,Neha Yadav,3234.79,2025-09-13T16:41:32,1406,674,16,0,Kolkata,0,16,0,0,none,0
TXN101528,vikram516@oksbi,Vikram Singh,12874.47,2026-02-03T02:47:11,351,350,2,0,Bengaluru,1,6,0,0,none,0
TXN101120,sneha925@axl,Sneha Sharma,245.74,2025-06-28T12:43:55,2182,753,12,0,Lucknow,0,16,0,0,none,0
TXN101425,amit_patel@paytm,Amit Patel,669.7,2025-01-08T17:09:58,591,2473,17,0,Pune,0,1,0,0,none,0
TXN100119,shalini_patel@upi,Shalini Patel,8626.28,2025-09-19T06:27:20,2485,1317,6,0,Lucknow,0,10,0,0,none,0
TXN200455,icici-0crhk@apl,Prize Claim Cell,2.77,2026-03-31T19:18:06,674,28,19,1,Kolkata,1,0,0,1,qr_code_scam,1
TXN200421,baur07bfmh@ybl,KYC Verification,4470.62,2025-06-02T06:15:35,1269,18,6,1,Indore,1,0,1,1,fake_customer_care,1
TXN100207,priyagupta1990@upi,Priya Gupta,1876.54,2025-03-22T20:45:19,1154,1510,20,0,Mumbai,0,20,0,0,none,0
TXN200060,supportdesk92@oksbi,0isxbi Services,3.41,2025-10-28T06:16:25,1316,3,6,1,Pune,1,0,1,0,refund_scam,1
TXN102389,shalini817@oksbi,Shalini Singh,1415.05,2025-05-07T22:09:57,2536,2150,22,0,Kolkata,0,19,0,0,none,0
TXN100730,divyaverma2003@axl,Divya Verma,1683.39,2026-05-29T12:21:51,1187,650,12,0,Bengaluru,0,8,0,0,none,0
TXN101532,manoj_nair@ibl,Manoj Nair,4896.04,2026-05-13T06:33:44,2952,167,6,0,Indore,0,4,0,0,none,0
TXN101687,ritu_patel@okaxis,Ritu Patel,1557.62,2025-05-04T13:14:39,2870,2747,13,0,Bengaluru,1,19,0,0,none,0
TXN200469,fboq2ng3ugcl@upi,Customer Support,2.51,2025-06-09T20:11:25,1501,2,20,0,Hyderabad,1,0,1,1,qr_code_scam,1
TXN100235,priya.reddy82@upi,Priya Reddy,1340.84,2025-02-07T06:02:46,377,2915,6,0,Jaipur,1,3,0,0,none,0
TXN101447,kavita_reddy@okhdfcbank,Kavita Reddy,776.9,2026-02-08T11:34:14,424,700,11,0,Mumbai,0,0,0,0,none,0
TXN100245,ritu.nair41@okhdfcbank,Ritu Nair,854.06,2025-11-10T08:39:37,552,2564,8,0,Pune,0,20,0,0,none,0
TXN100474,neha.chauhan51@okhdfcbank,Neha Chauhan,7613.24,2026-05-05T15:41:30,2210,2460,15,0,Chennai,0,1,0,0,none,0
TXN100419,rohitgupta1976@axl,Rohit Gupta,12748.69,2025-09-08T13:49:39,1291,2897,13,0,Hyderabad,0,17,0,0,none,0
TXN200299,icici-q3k94@ybl,KYC Verification,3.15,2025-10-24T13:49:23,1115,10,13,1,Chennai,1,0,1,0,kyc_update_scam,1
TXN102171,ajayiyer1973@okicici,Ajay Iyer,6286.56,2025-12-13T21:54:41,2031,2660,21,0,Jaipur,0,11,0,0,none,0
TXN101269,pooja245@upi,Pooja Sharma,727.38,2026-04-19T18:30:00,412,800,18,0,Hyderabad,0,1,0,0,none,0
TXN101884,ajay.sharma96@okhdfcbank,Ajay Sharma,1542.32,2025-08-10T00:00:57,385,976,0,0,Jaipur,0,17,0,0,none,0
TXN101606,anita_iyer@ibl,Anita Iyer,8838.11,2025-09-11T18:54:54,2662,2510,18,0,Lucknow,0,8,0,0,none,0
TXN102165,nehaiyer1972@oksbi,Neha Iyer,5742.5,2025-09-27T04:54:31,1070,2204,4,0,Jaipur,1,6,0,0,none,0
TXN101965,priya.reddy15@okaxis,Priya Reddy,5451.1,2025-11-21T17:53:11,2488,1212,17,0,Kolkata,0,5,0,0,none,0
TXN101133,pooja684@axl,Pooja Iyer,903.45,2025-10-18T08:07:25,432,195,8,0,Lucknow,1,15,0,0,none,0
TXN101359,ajaysingh1978@paytm,Ajay Singh,5497.2,2025-06-29T00:06:31,1287,1929,0,0,Lucknow,0,3,0,0,none,0
TXN101968,arjunpatel1991@apl,Arjun Patel,7573.15,2025-06-14T20:33:06,2221,2085,20,0,Indore,0,6,0,0,none,0
TXN200170,axis-jz935@upi,Customer Support,20284.44,2025-12-05T19:21:24,1751,29,19,1,Delhi,1,0,0,1,phishing_link_scam,1
TXN102447,ritupatel1992@okhdfcbank,Ritu Patel,11236.42,2026-05-28T18:05:40,696,2913,18,0,Hyderabad,1,14,0,0,none,0
TXN101620,anitachauhan1975@okhdfcbank,Anita Chauhan,626.21,2026-01-13T00:00:26,716,198,0,0,Kolkata,1,17,0,0,none,0
TXN101964,ritu_verma@oksbi,Ritu Verma,6640.15,2026-03-31T12:10:26,1591,2936,12,0,Lucknow,0,1,0,0,none,0
TXN102295,rahulgupta1983@ibl,Rahul Gupta,7312.52,2025-10-28T22:49:54,304,2819,22,0,Lucknow,0,12,0,0,none,0
TXN100230,rohit_iyer@apl,Rohit Iyer,1748.16,2025-02-11T23:47:17,1583,1766,23,0,Jaipur,0,10,0,0,none,0
TXN101264,neha371@okaxis,Neha Nair,5916.35,2026-05-25T13:09:37,2553,1792,13,0,Kolkata,0,1,0,0,none,0
TXN101154,suresh.iyer67@axl,Suresh Iyer,9654.53,2025-01-12T15:52:53,2150,2115,15,0,Mumbai,0,2,0,0,none,0
TXN101302,deepakyadav1987@upi,Deepak Yadav,3463.08,2026-01-27T12:30:54,1173,1273,12,0,Chennai,0,6,0,0,none,0
TXN100265,rohitpatel1996@okicici,Rohit Patel,480.54,2025-05-23T21:52:22,649,832,21,0,Indore,0,17,0,0,none,0
TXN200142,uggepndgb@ibl,Prize Claim Cell,42500.22,2026-03-24T23:48:46,604,5,23,0,Mumbai,1,0,1,0,refund_scam,1
TXN102274,meena_sharma@axl,Meena Sharma,3063.64,2025-11-29T01:36:47,1233,1209,1,0,Kolkata,0,9,0,0,none,0
TXN200512,hdfc-f7s6q@paytm,Prize Claim Cell,3.6,2025-04-24T23:11:43,2960,3,23,1,Hyderabad,1,0,1,0,kyc_update_scam,1
TXN100191,meena_nair@upi,Meena Nair,5153.59,2025-08-25T01:16:48,2603,2110,1,0,Bengaluru,0,4,0,0,none,0
TXN100249,rahul666@upi,Rahul Iyer,1852.52,2026-01-11T02:30:15,2549,801,2,0,Mumbai,0,12,0,0,none,0
TXN101858,rohit619@okicici,Rohit Singh,1393.15,2025-07-04T18:55:13,1925,290,18,0,Pune,0,14,0,0,none,0
TXN100195,vikramchauhan1979@ibl,Vikram Chauhan,3569.58,2025-12-28T23:53:49,1030,1941,23,0,Pune,0,2,0,0,none,0
TXN101663,arjunyadav2002@paytm,Arjun Yadav,1794.14,2026-01-18T03:28:53,1341,2426,3,0,Indore,0,8,0,0,none,0
TXN101298,snehapatel1996@axl,Sneha Patel,632.87,2026-06-23T02:20:18,2947,158,2,0,Mumbai,1,12,0,0,none,0
TXN101436,vikram428@ybl,Vikram Nair,10906.14,2025-11-07T20:53:20,404,2031,20,0,Mumbai,1,9,0,0,none,0
TXN200345,5snu2uji@paytm,KYC Verification,1.01,2025-11-26T14:24:33,703,24,14,0,Kolkata,1,0,0,1,kyc_update_scam,1
TXN101842,ritu414@paytm,Ritu Chauhan,6564.21,2025-08-14T04:41:13,2069,703,4,0,Jaipur,0,5,0,0,none,0
TXN100807,sneha_singh@paytm,Sneha Singh,970.16,2026-02-16T23:21:49,2518,2842,23,0,Mumbai,0,12,0,0,none,0
TXN102010,arjunreddy1982@ibl,Arjun Reddy,1306.42,2026-01-24T03:11:26,1223,1444,3,0,Chennai,0,18,0,0,none,0
TXN200484,axis-w4suy@axl,Refund Dept,1883.92,2025-07-10T18:54:10,1583,2,18,1,Lucknow,1,0,0,1,cashback_scam,1
TXN101244,deepak.nair85@paytm,Deepak Nair,2585.43,2025-08-04T00:50:11,1209,2419,0,0,Mumbai,0,11,0,0,none,0
TXN101330,rahul789@oksbi,Rahul Patel,287.63,2025-04-05T09:37:48,222,1108,9,0,Chennai,0,18,0,0,none,0
TXN101121,sneha.patel58@okhdfcbank,Sneha Patel,1423.39,2025-09-24T04:44:42,2262,263,4,0,Delhi,0,1,0,0,none,0
TXN101554,poojayadav1980@okaxis,Pooja Yadav,6886.9,2025-05-16T23:10:29,462,2342,23,0,Pune,0,18,0,0,none,0
TXN101139,pooja945@ybl,Pooja Chauhan,1116.09,2026-02-26T11:09:48,1269,2279,11,0,Chennai,0,19,0,0,none,0
TXN101192,shalini_sharma@ibl,Shalini Sharma,808.68,2026-06-14T16:58:32,868,2686,16,1,Indore,0,7,0,0,none,0
TXN100939,rahulgupta1981@ibl,Rahul Gupta,6853.12,2026-05-28T12:43:06,2137,363,12,0,Mumbai,1,3,0,0,none,0
TXN101344,priyayadav1980@okhdfcbank,Priya Yadav,10480.85,2026-04-20T17:50:17,2071,638,17,1,Pune,0,0,0,0,none,0
TXN100752,ritusingh1970@okaxis,Ritu Singh,1862.62,2025-03-12T22:40:07,855,2037,22,0,Hyderabad,0,1,0,0,none,0
TXN101159,amitnair1995@okaxis,Amit Nair,622.27,2026-06-01T03:08:29,2184,785,3,1,Chennai,1,5,0,0,none,0
TXN100175,vikram742@apl,Vikram Chauhan,197.26,2025-12-18T01:44:11,1830,2201,1,0,Hyderabad,1,15,0,0,none,0
TXN101101,anita_verma@upi,Anita Verma,1298.7,2025-02-28T12:51:56,1148,772,12,0,Hyderabad,0,18,0,0,none,0
TXN102055,kavitapatel1992@axl,Kavita Patel,8284.11,2025-06-06T21:25:34,1651,1750,21,0,Indore,0,6,0,0,none,0
TXN102098,ritu_nair@apl,Ritu Nair,1446.88,2025-05-01T00:04:47,1771,1726,0,0,Mumbai,1,4,0,0,none,0
TXN100605,pooja.patel58@ibl,Pooja Patel,1071.34,2025-11-22T10:48:13,863,2544,10,0,Mumbai,0,1,0,0,none,0
TXN100748,shalini_yadav@okicici,Shalini Yadav,1072.54,2025-05-08T13:37:19,1481,1795,13,0,Jaipur,0,0,0,0,none,0
TXN101309,sneha_sharma@ybl,Sneha Sharma,14195.85,2025-04-13T03:50:07,2162,1213,3,0,Kolkata,1,11,0,0,none,0
TXN101424,divya.verma58@upi,Divya Verma,11643.75,2026-04-06T16:01:36,1471,652,16,0,Bengaluru,0,3,0,0,none,0
TXN200368,axis-ysd83@ibl,Customer Support,6.78,2025-05-27T23:18:05,1152,12,23,0,Mumbai,1,0,1,0,kyc_update_scam,1
TXN100446,suresh.nair53@ibl,Suresh Nair,14333.24,2026-02-19T08:36:03,2415,1825,8,0,Bengaluru,0,4,0,0,none,0
TXN102330,sneha_iyer@ybl,Sneha Iyer,6460.8,2026-01-25T17:37:25,1489,1611,17,0,Pune,0,4,0,0,none,0
TXN200476,icici-wph2v@paytm,KYC Verification,8.61,2025-07-01T17:32:54,2649,27,17,1,Mumbai,1,0,1,1,cashback_scam,1
TXN102172,deepak.gupta48@okicici,Deepak Gupta,3929.0,2025-06-18T09:54:46,2583,1107,9,0,Jaipur,0,0,0,0,none,0
TXN101459,manoj.yadav99@paytm,Manoj Yadav,439.44,2025-01-02T03:27:11,648,2039,3,0,Indore,0,13,0,0,none,0
TXN101231,sureshnair1977@okicici,Suresh Nair,10797.17,2026-05-19T09:32:53,1578,694,9,0,Jaipur,1,14,0,0,none,0
TXN101969,kavitagupta1996@upi,Kavita Gupta,10818.86,2026-04-12T12:06:28,324,209,12,0,Bengaluru,1,18,0,0,none,0
TXN102077,neha_nair@upi,Neha Nair,1373.15,2026-03-25T04:10:20,2471,2480,4,0,Indore,0,0,0,0,none,0
TXN100030,meena236@axl,Meena Singh,14350.51,2026-03-11T03:07:21,2689,2157,3,0,Chennai,1,5,0,0,none,0
TXN101405,sanjayreddy1970@paytm,Sanjay Reddy,11577.69,2025-11-16T14:48:07,2227,3000,14,0,Pune,0,13,0,0,none,0
TXN101797,vikramgupta1987@ybl,Vikram Gupta,8234.77,2026-05-30T19:49:57,2446,289,19,0,Chennai,0,13,0,0,none,0
TXN200235,kycupdate534@okhdfcbank,Customer Support,4.89,2025-02-07T09:44:53,1601,21,9,1,Delhi,1,0,1,0,refund_scam,1
TXN100938,ritu670@okhdfcbank,Ritu Sharma,13411.15,2025-02-20T14:57:23,2124,1733,14,0,Bengaluru,0,3,0,0,none,0
TXN100074,sneha540@okaxis,Sneha Iyer,7895.49,2025-11-18T10:02:38,569,1370,10,0,Pune,0,4,0,0,none,0
TXN102443,vikram.singh44@axl,Vikram Singh,1396.48,2026-02-04T21:32:14,2392,103,21,0,Kolkata,0,16,0,0,none,0
TXN101631,sanjaypatel1985@okaxis,Sanjay Patel,3861.62,2026-06-26T14:27:15,1591,2545,14,0,Chennai,1,12,0,0,none,0
TXN101130,deepak.verma79@okhdfcbank,Deepak Verma,372.03,2025-07-25T03:26:11,287,967,3,0,Chennai,1,17,0,0,none,0
TXN102322,divyasingh1986@okhdfcbank,Divya Singh,364.01,2026-05-07T15:50:34,2540,2487,15,0,Chennai,0,3,0,0,none,0
TXN102413,ritu_chauhan@upi,Ritu Chauhan,14896.85,2026-06-17T13:29:19,843,946,13,0,Kolkata,1,8,0,0,none,0
TXN101889,sanjay_verma@upi,Sanjay Verma,6925.94,2025-01-28T10:23:11,2020,1616,10,0,Chennai,0,15,0,0,none,0
TXN101601,ajay_patel@axl,Ajay Patel,1964.85,2026-03-19T21:32:32,305,1602,21,0,Hyderabad,1,14,0,0,none,0
TXN101625,rahulyadav1983@okhdfcbank,Rahul Yadav,1319.23,2025-10-27T02:14:20,1346,1447,2,0,Jaipur,0,7,0,0,none,0
TXN102104,divya_chauhan@oksbi,Divya Chauhan,10841.36,2025-11-10T17:59:19,2234,232,17,0,Mumbai,1,8,0,0,none,0
TXN101852,sneha.singh10@upi,Sneha Singh,1142.36,2025-09-11T05:36:43,2604,2452,5,0,Chennai,1,18,0,0,none,0
TXN100662,meena_patel@ibl,Meena Patel,1704.91,2026-01-19T04:27:40,1711,2621,4,0,Bengaluru,0,0,0,0,none,0
TXN101937,rituiyer1982@ibl,Ritu Iyer,14760.67,2025-06-28T06:42:25,2411,1519,6,0,Lucknow,1,4,0,0,none,0
TXN100338,kavitasingh1983@ibl,Kavita Singh,6223.64,2026-04-25T06:49:12,1190,1841,6,0,Lucknow,1,10,0,0,none,0
TXN100961,neha.gupta67@upi,Neha Gupta,1166.59,2025-02-10T12:04:54,1360,2334,12,0,Kolkata,0,7,0,0,none,0
TXN102244,neha.gupta70@okicici,Neha Gupta,13397.61,2025-04-25T14:33:31,1796,803,14,0,Jaipur,0,20,0,0,none,0
TXN100126,sneha261@ibl,Sneha Gupta,11826.84,2026-01-06T20:17:07,1495,1259,20,0,Delhi,0,17,0,0,none,0
TXN101032,manoj545@oksbi,Manoj Nair,2036.34,2025-02-04T06:56:55,1186,1637,6,0,Hyderabad,0,11,0,0,none,0
TXN101523,shalini_iyer@axl,Shalini Iyer,10105.92,2025-11-29T17:36:25,969,2868,17,0,Lucknow,1,4,0,0,none,0
TXN100178,rahul_reddy@okicici,Rahul Reddy,232.01,2025-08-01T20:05:34,1703,2811,20,0,Mumbai,0,12,0,0,none,0
TXN200226,raj52ew2o07v@oksbi,KYC Verification,13585.88,2025-03-10T20:59:19,1959,14,20,0,Lucknow,1,0,1,1,lottery_prize_scam,1
TXN200461,5xam0br4a@upi,Cash Back Team,1471.64,2025-07-25T17:25:56,903,15,17,1,Bengaluru,1,0,1,1,fake_customer_care,1
TXN101872,kavitareddy1970@okicici,Kavita Reddy,1147.4,2026-04-16T00:08:25,1950,1321,0,0,Kolkata,0,20,0,0,none,0
TXN200375,axis-206bq@oksbi,Refund Dept,2.53,2025-11-26T13:26:50,818,0,13,1,Hyderabad,1,0,1,0,refund_scam,1
