call_id,phone_number,call_type,timestamp,call_duration_sec,caller_id_verified,telecom_circle,number_active_since_days,num_user_reports_total,num_distinct_recipients_contacted_24h,call_originates_from_known_contact,requested_otp_or_pin,requested_remote_access_app,requested_payment_or_gift_card,scam_category,is_fraud
CALL101186,6000591463,regular_call,2026-04-16T23:35:41,351,1,UP-West,2200,0,3,1,0,0,0,none,0
CALL101569,8002153709,whatsapp_call,2025-10-29T15:53:40,772,1,Kerala,830,0,5,1,0,0,0,none,0
CALL101505,7001920491,whatsapp_call,2025-03-29T23:40:09,36,1,Rajasthan,1171,0,4,1,0,0,0,none,0
CALL101293,9000053642,regular_call,2025-10-12T15:14:29,206,1,Punjab,950,0,1,0,0,0,0,none,0
CALL200169,8881084717,telegram_call,2025-12-26T21:45:09,1834,0,Karnataka,12,338,352,0,0,0,1,digital_arrest_scam,1
CALL200041,9991262974,telegram_call,2026-04-23T10:39:17,14,0,Delhi,0,336,848,0,0,1,1,digital_arrest_scam,1
CALL200026,9992400740,voip_app,2025-08-18T05:34:59,1909,0,Kerala,11,45,1289,0,1,1,0,kyc_update_call,1
CALL101214,6000059460,whatsapp_call,2025-11-23T01:15:31,550,1,Tamil Nadu,960,0,5,1,0,0,0,none,0
CALL102155,7001838006,regular_call,2026-01-12T16:35:18,643,1,West Bengal,2127,1,2,1,0,0,0,none,0
CALL100671,7002000751,regular_call,2026-03-26T07:30:01,372,1,Tamil Nadu,1696,0,5,0,0,0,0,none,0
CALL101460,8002474443,whatsapp_call,2025-11-15T17:26:18,358,1,Delhi,956,0,5,1,0,0,0,none,0
CALL102096,6000639271,regular_call,2026-04-23T22:21:39,544,1,West Bengal,3477,1,2,1,0,0,0,none,0
CALL100583,7000450241,whatsapp_call,2025-10-16T14:21:53,356,1,Punjab,829,1,4,0,0,0,0,none,0
CALL101216,7001820010,whatsapp_call,2025-07-13T12:13:13,79,1,Maharashtra,3297,1,4,1,0,0,0,none,0
CALL101770,7002158305,regular_call,2025-09-13T06:13:32,290,1,Gujarat,1918,1,2,1,0,0,0,none,0
CALL102339,8002200836,regular_call,2025-03-20T21:35:45,441,1,UP-West,2160,0,1,0,0,0,0,none,0
CALL100254,7002939610,whatsapp_call,2025-02-07T12:43:29,71,1,Mumbai,693,1,2,1,0,0,0,none,0
CALL200421,7770434849,whatsapp_call,2025-03-13T12:34:47,18,0,Maharashtra,15,46,89,0,1,0,0,otp_phishing_call,1
CALL101199,9001076744,whatsapp_call,2025-07-15T04:19:24,618,1,Mumbai,3129,1,2,1,0,0,0,none,0
CALL200015,9991393142,spoofed_caller_id,2025-12-09T05:08:18,17,0,Kerala,16,426,1570,0,0,1,1,investment_trading_scam,1
CALL101546,7002251164,whatsapp_call,2025-04-23T22:06:20,121,1,Karnataka,3271,1,5,0,0,0,0,none,0
CALL101621,6001380376,regular_call,2025-04-05T14:43:30,511,1,UP-East,1237,1,2,0,0,0,0,none,0
CALL200360,7770773208,regular_call,2025-08-23T23:34:30,818,0,Rajasthan,8,312,305,0,1,1,1,fake_customer_care,1
CALL100335,8000115444,regular_call,2025-08-18T16:36:42,510,1,Gujarat,2560,1,2,0,0,0,0,none,0
CALL101987,9001784107,regular_call,2026-02-15T20:54:09,153,1,Maharashtra,235,1,3,0,0,0,0,none,0
CALL200405,7770696224,telegram_call,2025-03-06T15:18:55,23,0,Delhi,19,441,1259,0,0,0,1,courier_customs_scam,1
CALL100130,8002661250,regular_call,2025-01-16T23:15:42,703,1,Kerala,1553,0,5,1,0,0,0,none,0
CALL100314,7000423516,regular_call,2025-02-21T21:02:33,877,1,Gujarat,2935,0,5,1,0,0,0,none,0
CALL100219,8001079593,regular_call,2025-12-31T03:46:11,560,1,Maharashtra,2316,1,4,1,0,0,0,none,0
CALL101634,7001376581,whatsapp_call,2025-08-26T15:10:30,328,1,Tamil Nadu,3888,0,5,0,0,0,0,none,0
CALL101136,6000265042,regular_call,2026-05-21T04:41:12,71,1,West Bengal,1369,1,3,0,0,0,0,none,0
CALL102329,9000090366,regular_call,2025-04-29T20:00:41,310,1,Gujarat,2271,1,2,0,0,0,0,none,0
CALL100178,7002195708,whatsapp_call,2025-10-29T06:44:28,367,1,Kerala,3324,0,5,0,0,0,0,none,0
CALL100911,9002329887,regular_call,2025-10-03T08:41:19,120,1,Gujarat,565,1,1,1,0,0,0,none,0
CALL100830,6000486747,whatsapp_call,2025-05-14T00:22:19,688,1,Punjab,3320,0,1,1,0,0,0,none,0
CALL100845,9002136717,regular_call,2025-03-25T08:39:53,754,1,Maharashtra,1560,0,2,1,0,0,0,none,0
CALL102010,6000214135,regular_call,2025-09-01T05:11:58,276,1,Karnataka,635,1,1,1,0,0,0,none,0
CALL200446,7770174379,telegram_call,2025-04-13T19:26:16,26,0,Maharashtra,11,283,861,0,1,0,1,sextortion_call,1
CALL100669,8000587039,regular_call,2026-05-09T07:36:14,68,1,Maharashtra,2498,0,2,1,0,0,0,none,0
CALL101913,6000708677,whatsapp_call,2025-03-30T21:03:35,454,1,Maharashtra,2507,1,1,1,0,0,0,none,0
CALL100759,8000024257,whatsapp_call,2025-02-18T13:44:12,669,1,Kerala,3656,0,4,0,0,0,0,none,0
CALL101176,6001567030,whatsapp_call,2025-01-13T19:07:38,816,1,Kerala,202,1,2,0,0,0,0,none,0
CALL100363,6000173789,whatsapp_call,2026-06-13T00:41:03,539,1,Rajasthan,989,1,1,1,0,0,0,none,0
CALL200476,8881478098,regular_call,2025-09-05T22:32:59,15,0,Gujarat,9,493,1655,0,0,1,1,courier_customs_scam,1
CALL200331,7771912105,whatsapp_call,2025-08-08T00:37:09,1394,0,unknown/spoofed,4,487,1250,0,1,0,1,courier_customs_scam,1
CALL101610,8000493835,regular_call,2026-02-26T02:52:47,564,1,Rajasthan,2796,0,5,0,0,0,0,none,0
CALL100904,8000236912,regular_call,2026-02-08T04:31:43,227,1,West Bengal,3713,0,1,0,0,0,0,none,0
CALL200073,7770072276,spoofed_caller_id,2026-02-08T11:29:05,15,0,Punjab,4,208,776,0,0,0,1,digital_arrest_scam,1
CALL100675,8001635881,whatsapp_call,2025-08-07T04:59:29,426,1,Punjab,3100,1,3,0,0,0,0,none,0
CALL101714,6000435751,whatsapp_call,2025-03-06T01:23:18,70,1,UP-East,261,0,5,1,0,0,0,none,0
CALL100096,6000722032,regular_call,2025-12-17T04:30:39,70,1,Punjab,792,1,4,1,0,0,0,none,0
CALL100752,8002031451,regular_call,2025-06-01T19:40:08,830,1,Delhi,3316,1,4,0,0,0,0,none,0
CALL102278,7002665761,whatsapp_call,2025-09-01T03:55:45,559,1,Karnataka,1837,0,2,0,0,0,0,none,0
CALL100074,8000233249,whatsapp_call,2025-05-27T05:14:12,71,1,Tamil Nadu,1230,0,5,1,0,0,0,none,0
CALL200079,9990267652,telegram_call,2026-01-16T00:21:46,1611,0,UP-West,15,463,1432,0,1,1,0,loan_app_harassment,1
CALL101224,6001086153,regular_call,2026-04-07T22:56:15,305,1,Mumbai,2572,1,3,0,0,0,0,none,0
CALL101967,8002205168,whatsapp_call,2026-02-02T19:40:23,458,1,Rajasthan,3007,1,1,1,0,0,0,none,0
CALL101137,6000275552,whatsapp_call,2026-03-29T13:33:43,429,1,Delhi,751,1,3,1,0,0,0,none,0
CALL101476,7000404170,whatsapp_call,2026-03-06T10:03:50,193,1,UP-West,1239,1,2,1,0,0,0,none,0
CALL102197,7000228338,regular_call,2026-04-15T06:05:43,204,1,Karnataka,1504,0,4,0,0,0,0,none,0
CALL101845,8000965511,regular_call,2025-04-11T00:56:46,608,1,UP-West,418,0,2,0,0,0,0,none,0
CALL100270,6000977667,regular_call,2025-05-17T21:11:21,455,1,Tamil Nadu,2212,0,5,0,0,0,0,none,0
CALL100085,8000308051,whatsapp_call,2025-10-30T19:04:45,568,1,Punjab,3387,1,4,1,0,0,0,none,0
CALL101701,8000830252,whatsapp_call,2025-08-19T11:38:53,740,1,Rajasthan,2490,1,3,1,0,0,0,none,0
CALL101737,7000651426,whatsapp_call,2025-03-19T10:40:22,191,1,Maharashtra,815,0,3,1,0,0,0,none,0
CALL102002,8001567600,regular_call,2025-08-15T06:11:37,769,1,UP-West,2145,0,1,0,0,0,0,none,0
CALL200507,9990879952,regular_call,2025-03-09T10:58:07,796,0,unknown/spoofed,14,349,1889,0,0,1,1,courier_customs_scam,1
CALL100485,9001156004,whatsapp_call,2026-05-03T00:51:31,652,1,UP-East,3653,0,4,0,0,0,0,none,0
CALL102257,8000612459,regular_call,2026-05-06T12:39:05,787,1,Gujarat,2325,0,5,0,0,0,0,none,0
CALL100708,7002928074,regular_call,2025-12-06T07:52:48,363,1,West Bengal,450,0,3,1,0,0,0,none,0
CALL102153,8002980397,regular_call,2026-03-31T22:44:27,683,1,Karnataka,2187,0,2,1,0,0,0,none,0
CALL102123,9001808018,regular_call,2025-01-13T13:21:16,267,1,Tamil Nadu,450,1,3,1,0,0,0,none,0
CALL101693,6000071534,regular_call,2025-08-15T14:37:57,458,1,Gujarat,1201,0,5,0,0,0,0,none,0
CALL102055,8000586325,whatsapp_call,2025-06-03T12:11:19,404,1,UP-West,1791,0,4,0,0,0,0,none,0
CALL101709,8002875949,regular_call,2025-07-03T11:41:33,12,1,Gujarat,766,1,2,1,0,0,0,none,0
CALL100715,7000572897,whatsapp_call,2025-08-08T03:35:31,286,1,UP-East,2807,0,5,0,0,0,0,none,0
CALL100212,9002577954,regular_call,2025-05-11T13:31:27,51,1,Delhi,2119,1,1,1,0,0,0,none,0
CALL101797,6001599233,whatsapp_call,2025-01-24T01:07:46,288,1,Gujarat,1961,0,1,1,0,0,0,none,0
CALL101513,9000457176,whatsapp_call,2025-03-09T23:14:35,249,1,West Bengal,957,1,2,0,0,0,0,none,0
CALL100240,7001394813,regular_call,2025-07-07T18:16:44,137,1,Gujarat,399,0,1,1,0,0,0,none,0
CALL101251,8002872212,regular_call,2026-01-15T05:01:42,21,1,UP-West,1980,0,5,0,0,0,0,none,0
CALL200024,7770933563,telegram_call,2026-01-14T08:02:02,30,0,unknown/spoofed,5,129,1588,0,1,1,0,job_offer_scam,1
CALL200217,9991406089,spoofed_caller_id,2026-06-08T20:49:06,1043,0,Rajasthan,6,446,371,0,1,1,1,fake_customer_care,1
CALL101092,9000920656,whatsapp_call,2026-03-23T18:16:17,353,1,West Bengal,2752,0,4,1,0,0,0,none,0
CALL200010,8880103472,voip_app,2025-05-15T04:42:12,7,0,Mumbai,0,358,378,0,1,0,1,kyc_update_call,1
CALL200072,8881428514,regular_call,2025-08-16T22:47:05,2164,0,Gujarat,3,383,1389,0,1,1,1,courier_customs_scam,1
CALL102315,8002435295,regular_call,2025-09-03T08:43:36,98,1,Mumbai,3172,0,4,1,0,0,0,none,0
CALL100116,7000700663,whatsapp_call,2026-01-24T17:44:44,479,1,Delhi,780,1,5,1,0,0,0,none,0
CALL100123,9001378325,whatsapp_call,2026-06-02T07:50:39,484,1,Karnataka,3312,0,4,1,0,0,0,none,0
CALL100839,7000012077,whatsapp_call,2025-12-30T20:13:47,304,1,Delhi,4000,0,1,1,0,0,0,none,0
CALL100475,6000144517,whatsapp_call,2025-08-07T23:00:05,612,1,Gujarat,3647,0,3,1,0,0,0,none,0
CALL101083,9000721060,regular_call,2025-09-08T04:40:03,183,1,Gujarat,628,0,3,0,0,0,0,none,0
CALL200585,7771548888,regular_call,2025-01-28T02:01:53,573,0,UP-West,4,216,1623,0,0,0,1,job_offer_scam,1
CALL100683,7002187518,whatsapp_call,2026-01-03T08:50:33,405,1,Kerala,2481,0,4,1,0,0,0,none,0
CALL200164,9990522277,voip_app,2025-05-07T13:47:35,2033,0,West Bengal,14,273,1169,0,1,0,1,courier_customs_scam,1
CALL102335,9000853602,whatsapp_call,2025-04-06T12:26:52,166,1,UP-East,1477,1,1,1,0,0,0,none,0
CALL101836,8000797437,whatsapp_call,2025-05-12T12:45:25,787,1,Gujarat,3215,0,5,0,0,0,0,none,0
CALL101223,9001176961,regular_call,2025-02-16T21:15:09,10,1,Tamil Nadu,841,0,4,1,0,0,0,none,0
CALL200452,8880976323,voip_app,2025-01-11T23:52:54,1167,0,unknown/spoofed,17,95,669,0,0,1,1,loan_app_harassment,1
CALL100856,6000367988,regular_call,2025-03-22T02:27:41,785,1,UP-West,1243,1,3,1,0,0,0,none,0
CALL101412,8000159353,regular_call,2025-08-19T07:51:44,326,1,UP-West,2486,0,2,1,0,0,0,none,0
CALL100403,7002282315,whatsapp_call,2026-06-29T17:55:58,76,1,Tamil Nadu,611,1,4,1,0,0,0,none,0
CALL100268,7000504669,whatsapp_call,2025-07-19T10:56:32,249,1,Tamil Nadu,3680,0,5,0,0,0,0,none,0
CALL200209,8880024649,voip_app,2026-04-18T14:04:20,516,0,UP-East,15,448,1907,0,1,1,1,fake_customer_care,1
CALL101535,9000892548,regular_call,2025-03-26T20:23:38,649,1,Rajasthan,2905,1,2,1,0,0,0,none,0
CALL200320,7771739576,telegram_call,2025-08-01T05:08:07,1363,0,UP-East,18,164,276,0,0,1,1,investment_trading_scam,1
CALL100600,7002931088,regular_call,2026-03-23T12:13:31,154,1,West Bengal,1607,0,4,1,0,0,0,none,0
CALL101857,7001618170,regular_call,2025-07-21T02:51:04,639,1,Tamil Nadu,1977,1,4,1,0,0,0,none,0
CALL101710,8002920756,regular_call,2026-03-14T21:31:51,433,1,West Bengal,3654,0,5,1,0,0,0,none,0
CALL100988,7002365619,regular_call,2025-05-09T16:55:15,98,1,Rajasthan,2170,1,5,1,0,0,0,none,0
CALL101126,9002902198,whatsapp_call,2026-02-07T08:03:58,433,1,Mumbai,3563,0,2,1,0,0,0,none,0
CALL101704,7001171731,regular_call,2025-04-03T16:30:17,486,1,Tamil Nadu,3091,1,4,1,0,0,0,none,0
CALL200119,8880150952,whatsapp_call,2025-04-01T10:54:09,17,0,Mumbai,3,19,714,0,0,0,1,courier_customs_scam,1
CALL100111,6001053446,regular_call,2026-02-28T06:21:40,393,1,Punjab,1156,1,2,1,0,0,0,none,0
CALL200546,8880719710,regular_call,2026-04-19T02:19:19,1147,0,UP-West,9,401,289,0,0,0,1,courier_customs_scam,1
CALL100580,7002452272,whatsapp_call,2025-12-12T21:31:44,189,1,UP-East,1441,1,2,1,0,0,0,none,0
CALL200528,8881984033,regular_call,2025-05-07T12:17:37,1939,0,Delhi,15,177,513,0,1,1,1,investment_trading_scam,1
CALL100400,9001862572,regular_call,2026-05-12T02:24:17,561,1,Maharashtra,1872,0,2,0,0,0,0,none,0
CALL101933,7001931465,whatsapp_call,2026-05-10T15:02:08,6,1,Maharashtra,1999,1,2,1,0,0,0,none,0
CALL100495,9002960479,whatsapp_call,2025-09-10T16:47:54,568,1,Karnataka,2815,0,1,1,0,0,0,none,0
CALL101320,9001561969,whatsapp_call,2026-04-23T18:10:53,444,1,West Bengal,1885,1,3,1,0,0,0,none,0
CALL200504,9991600963,whatsapp_call,2025-03-12T08:49:23,30,0,Delhi,16,431,1196,0,1,0,1,kyc_update_call,1
CALL101225,9002745341,whatsapp_call,2025-06-26T09:27:48,111,1,Delhi,3729,0,4,1,0,0,0,none,0
CALL101346,7000133594,regular_call,2025-03-30T03:35:43,896,1,Mumbai,1255,0,1,1,0,0,0,none,0
CALL101916,8001980407,whatsapp_call,2026-05-21T12:18:03,695,1,Rajasthan,3698,1,3,0,0,0,0,none,0
CALL100619,6001998508,regular_call,2025-04-09T09:44:39,119,1,UP-West,3208,0,1,0,0,0,0,none,0
CALL100821,7000696771,regular_call,2026-03-23T22:44:40,24,1,Maharashtra,1439,0,2,0,0,0,0,none,0
CALL100235,6001915432,regular_call,2026-06-14T04:58:57,316,1,Maharashtra,3229,1,5,0,0,0,0,none,0
CALL200577,8881713517,telegram_call,2025-10-03T23:52:40,25,0,Gujarat,8,431,394,0,1,1,1,courier_customs_scam,1
CALL200269,8881646903,voip_app,2025-06-29T08:44:49,13,0,Rajasthan,8,384,910,0,1,1,0,fake_customer_care,1
CALL102130,7001261278,whatsapp_call,2026-03-17T22:13:32,780,1,West Bengal,471,0,2,1,0,0,0,none,0
CALL102043,8002252357,regular_call,2025-05-16T12:13:19,253,1,Kerala,2596,1,1,1,0,0,0,none,0
CALL101939,7001918570,whatsapp_call,2025-01-24T16:18:04,75,1,West Bengal,2483,0,4,0,0,0,0,none,0
CALL100197,9002321348,whatsapp_call,2025-04-10T06:15:38,483,1,UP-West,852,1,3,0,0,0,0,none,0
CALL200414,7770706595,regular_call,2025-02-16T06:28:52,8,0,Rajasthan,4,75,935,0,1,0,1,investment_trading_scam,1
CALL102100,7000335444,whatsapp_call,2026-02-19T07:50:13,21,1,Maharashtra,1985,1,2,0,0,0,0,none,0
CALL102049,8000512436,regular_call,2026-05-24T02:51:48,563,1,Karnataka,248,0,4,1,0,0,0,none,0
CALL101711,9000450081,whatsapp_call,2025-05-30T08:18:04,67,1,UP-East,1427,1,2,1,0,0,0,none,0
CALL200404,9991300541,spoofed_caller_id,2025-05-23T11:02:16,14,0,Punjab,2,92,362,0,1,1,1,fake_customer_care,1
CALL100136,9002484426,whatsapp_call,2025-01-27T14:17:42,25,1,Tamil Nadu,2519,0,4,1,0,0,0,none,0
CALL200189,7770154494,whatsapp_call,2025-02-05T06:10:04,13,0,UP-West,13,465,476,0,0,1,0,job_offer_scam,1
CALL200113,9991120202,regular_call,2026-05-14T12:50:19,10,0,West Bengal,7,366,1579,0,0,1,0,loan_app_harassment,1
CALL100426,7001952515,regular_call,2025-10-22T22:12:49,148,1,West Bengal,2585,1,3,1,0,0,0,none,0
CALL200386,8880975090,regular_call,2025-11-06T01:30:56,772,0,West Bengal,3,116,1072,0,0,1,1,investment_trading_scam,1
CALL100451,7002435571,whatsapp_call,2025-05-25T11:40:26,109,1,Maharashtra,1007,1,4,0,0,0,0,none,0
CALL100327,9001703981,whatsapp_call,2025-09-09T03:58:53,644,1,Rajasthan,3826,1,4,0,0,0,0,none,0
CALL200054,9992271500,voip_app,2025-06-21T08:13:26,2077,0,UP-West,6,196,418,0,0,1,1,loan_app_harassment,1
CALL102129,6000870461,regular_call,2025-05-22T13:59:57,778,1,UP-East,473,1,3,1,0,0,0,none,0
CALL101009,8000556736,whatsapp_call,2025-04-24T01:44:23,425,1,Tamil Nadu,3527,1,2,0,0,0,0,none,0
CALL200423,8880873579,whatsapp_call,2025-04-03T14:29:58,15,0,UP-East,3,381,988,0,1,1,1,courier_customs_scam,1
CALL100568,6000285159,regular_call,2025-01-15T16:48:53,261,1,Tamil Nadu,2752,0,5,1,0,0,0,none,0
CALL200487,8881385835,regular_call,2025-08-22T17:38:28,18,0,Karnataka,15,400,767,0,0,0,1,digital_arrest_scam,1
CALL100751,9002906347,regular_call,2025-10-13T04:32:07,146,1,Karnataka,3398,1,3,1,0,0,0,none,0
CALL100014,9001547280,whatsapp_call,2025-06-09T09:29:05,155,1,Kerala,2424,0,5,1,0,0,0,none,0
CALL200280,9991189378,voip_app,2025-12-15T03:57:03,2162,0,Rajasthan,15,80,1788,0,0,1,1,sextortion_call,1
CALL100091,8000262456,whatsapp_call,2025-05-12T01:34:46,122,1,Rajasthan,398,1,4,1,0,0,0,none,0
CALL200290,8881825747,whatsapp_call,2025-08-29T04:58:31,16,0,Gujarat,18,46,1409,0,1,1,0,otp_phishing_call,1
CALL101847,9001692694,regular_call,2025-06-16T13:48:43,863,1,Kerala,2638,1,4,1,0,0,0,none,0
CALL200007,9991077532,voip_app,2026-04-02T23:31:28,24,0,West Bengal,13,401,1554,0,0,0,0,sextortion_call,1
CALL100620,7001208456,whatsapp_call,2025-06-09T09:29:34,7,1,Karnataka,3008,0,3,0,0,0,0,none,0
CALL100964,8001443903,regular_call,2025-12-30T20:18:18,287,1,UP-West,3534,0,1,1,0,0,0,none,0
CALL101596,7001302193,regular_call,2025-10-17T05:06:35,588,1,Rajasthan,3162,0,4,1,0,0,0,none,0
CALL101706,9002062616,whatsapp_call,2026-03-18T12:44:37,41,1,Rajasthan,643,0,1,1,0,0,0,none,0
CALL101703,8001682324,whatsapp_call,2025-07-19T09:27:18,54,1,Maharashtra,1017,1,2,1,0,0,0,none,0
CALL102138,7001122318,regular_call,2026-04-26T02:35:06,541,1,Maharashtra,277,0,2,0,0,0,0,none,0
CALL101831,7002283798,regular_call,2026-04-18T19:01:36,829,1,Rajasthan,2795,1,4,0,0,0,0,none,0
CALL100313,6001166566,whatsapp_call,2026-01-24T05:09:29,363,1,UP-East,3117,0,5,1,0,0,0,none,0
CALL100135,6001913072,regular_call,2025-03-20T17:31:03,895,1,Delhi,1926,0,1,1,0,0,0,none,0
CALL100740,6000746488,regular_call,2025-10-22T01:57:10,582,1,Tamil Nadu,568,1,2,0,0,0,0,none,0
CALL101281,9000243864,regular_call,2025-09-24T04:44:29,499,1,UP-West,2471,0,4,1,0,0,0,none,0
CALL101843,8000033473,regular_call,2025-10-28T16:22:10,235,1,Karnataka,309,0,3,0,0,0,0,none,0
CALL102182,7002383174,regular_call,2025-12-18T17:34:07,835,1,West Bengal,1600,0,3,1,0,0,0,none,0
CALL101141,8002947878,whatsapp_call,2025-05-24T08:42:00,311,1,Tamil Nadu,3931,0,3,1,0,0,0,none,0
CALL200307,8881724841,whatsapp_call,2025-04-05T16:33:10,26,0,UP-West,10,339,581,0,1,1,1,courier_customs_scam,1
CALL101492,6000047148,whatsapp_call,2026-01-27T15:15:26,532,1,Mumbai,549,1,3,0,0,0,0,none,0
CALL200191,7771864764,regular_call,2025-03-08T10:10:41,20,0,Maharashtra,10,495,1082,0,0,1,0,loan_app_harassment,1
CALL100590,7000534717,whatsapp_call,2026-02-23T16:35:28,598,1,Karnataka,2372,1,4,0,0,0,0,none,0
CALL101771,9001664784,whatsapp_call,2026-05-09T16:10:21,291,1,Gujarat,1648,1,2,1,0,0,0,none,0
CALL102386,9000829985,whatsapp_call,2025-05-13T01:58:23,479,1,Gujarat,2831,0,5,1,0,0,0,none,0
CALL100549,8002033687,regular_call,2025-05-26T18:27:31,733,1,Maharashtra,368,0,3,1,0,0,0,none,0
CALL200163,8881243582,telegram_call,2025-12-07T22:58:26,1608,0,Kerala,4,298,1164,0,0,1,0,sextortion_call,1
CALL100494,7002649011,regular_call,2025-11-29T08:21:36,590,1,Kerala,1080,1,4,1,0,0,0,none,0
CALL102005,7000277471,whatsapp_call,2026-04-21T14:53:08,101,1,Gujarat,524,1,1,1,0,0,0,none,0
CALL100810,6001338869,whatsapp_call,2025-05-24T18:06:46,410,1,Gujarat,2984,0,3,1,0,0,0,none,0
CALL200111,9990495425,whatsapp_call,2025-02-04T04:02:06,759,0,Mumbai,19,240,1761,0,1,1,1,loan_app_harassment,1
CALL101078,7001314467,regular_call,2026-04-02T03:59:07,23,1,Kerala,655,0,2,0,0,0,0,none,0
CALL101418,9002088960,regular_call,2025-06-19T21:26:13,420,1,Rajasthan,1775,1,5,1,0,0,0,none,0
CALL101341,8000505476,whatsapp_call,2025-07-03T02:56:18,518,1,Rajasthan,584,0,5,0,0,0,0,none,0
CALL200308,9990660789,spoofed_caller_id,2026-06-09T03:26:52,1892,0,Karnataka,5,133,169,0,0,0,1,digital_arrest_scam,1
CALL101548,6001260803,regular_call,2025-07-13T20:32:57,778,1,Delhi,1959,1,5,0,0,0,0,none,0
